Round,Pick,Value,Tm,Year
7,195,13,Los Angeles Chargers,2022
7,196,13,Baltimore Ravens,2022
7,197,13,Jacksonville Jaguars,2022
7,198,12,Jacksonville Jaguars,2022
7,199,12,Carolina Panthers,2022
7,200,11,New England Patriots,2022
7,201,11,Arizona Cardinals,2022
7,202,11,Dallas Cowboys,2022
7,203,10,Buffalo Bills,2022
7,204,10,Tennessee Titans,2022
7,205,9,Green Bay Packers,2022
7,206,9,Philadelphia Eagles,2022
7,207,9,Houston Texans,2022
7,208,8,Kansas City Chiefs,2022
7,209,8,Cincinnati Bengals,2022
7,210,7,New England Patriots,2022
7,211,7,Los Angeles Rams,2022
7,212,7,Los Angeles Rams,2022
7,213,6,Atlanta Falcons,2022
7,214,6,Los Angeles Chargers,2022
7,215,5,Arizona Cardinals,2022
7,216,5,Indianapolis Colts,2022
7,217,5,Detroit Lions,2022
7,218,4,Los Angeles Rams,2022
7,219,4,Tennessee Titans,2022
7,220,3,San Francisco 49ers,2022
7,221,3,San Francisco 49ers,2022
7,222,3,Jacksonville Jaguars,2022
7,223,2,Cleveland Browns,2022
7,224,2,New York Giants,2022
